tweet,soft_labels_task1,soft_labels_task2,soft_labels_task3
'Brokeside Dairy Jacket' 'paid pawns' continue health-hazard unwashed-and-soiled unprocessed-fish cooked whole with filthy-insides as 'penis-envy' [rd: Sexology] Sissy-Uhuru and his 'evil-eyes' loo-bat sit-pretty still on my 8.1yrs damages at 42yrs stil... https://t.co/902wm1iPxa,"[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
My therapist is such a troll. I texted her about it and her comeback is like “Well you know Freud studied the meaning of dreams a lot. Sounds like PENIS ENVY” I’m dead,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0]","[0.8333333333333334, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666]"
"sigmund freud was wrong about penis envy and other things probably, but the madonna whore complex is proven everyday","[0.0, 1.0]","[0.0, 0.6666666666666666, 0.3333333333333333, 0.0]","[0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.5]"
@jeff_thompson I'm going to have some penis envy and then get dressed up as the Queen of Hearts.,"[0.5, 0.5]","[0.5, 0.5, 0.0, 0.0]","[0.5, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666]"
@peekaboo_jen Penis envy? Deep Space? Penis trek? Twitter a penis emoji would be useful here…,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.6666666666666666, 0.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.0]"
@laurenboebert Can you say penis envy? Who poses with their gun?,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.0, 0.3333333333333333]"
"Penis envy, larger than Stelter’s forehead. Love to see it. https://t.co/zhDzVDNP4n","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.6666666666666666, 0.0, 0.0]","[0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0]"
"Got this frozen lemon tek in da freezer of some STRONK penis envy bubs- I’m excited mainly because of how much it is and how intense it’s gonna be come EF since I’m taking a psychedelics hiatus 😭👏 fuck man- yrboi tis stoked to the max, trick 🗣 🍄","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666, 0.0]"
"@WmManry @KerridwinR @wisemanryder @KitemanArgues @wpcguy @ExMissionary @RealRaviolius @pray2pesci @Askwhyisit @MurphyYuiko @ThinkyTexan @Jersey_Gulls @WastedAerospace @th1rt3en_TM @ChadCottle @brad_feinman @Frenchg11623069 @TJMair @bumpus_lumpus @AndrewRChapman @LustfulLiberal @NuckChorris16 @MucusMucous @Ozpin_Cane @peter_telecom @TGeorgiao @AprilLigeia @RonaldM71579792 @Carniphage @S4R41_K44R @randolf828 @mirandaisrisen @Chortling_Man @DrLazerKitty @tk_the_kitsune @ooohglobbits @Baphomet555666 @SLordDampnut @Dar42 @kester_lowers @EverythingDoubt @davelanger2k @Sicut_Lupus @Richard18593976 @SimpleS18790446 @Ah_Science @TakeThatDarwin @AtheismIsBad4u @Melanie33720945 Yeah, where would we be without Slavery, Misogyny, Rape and Donkey Penis Envy?","[0.0, 1.0]","[0.0, 0.8333333333333334, 0.16666666666666666, 0.0]","[0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.8333333333333334, 0.16666666666666666]"
@starlingdance @fem_mb It’s phallocentrism. Everything pointing toward a centre and organised with the right kind of opposition and the correct fellow travellers. I imagine it’s why the left are so bemused by the pushback. It’s messy and granular and contains all sorts of people doing their own thing.,"[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Dune fan from adolescence here. But has anyone written about the phallocentrism of the sandworms reifying the gender contours at the core of the narratives structure by being the only living organism capable of producing spice?,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666]"
@YaaAsantewaaBa I was about to say they should put their strap game on but yeah. Phallocentrism is really an issue in the Western world. Aren’t permanent lung damage and death sufficient arguments?,"[0.5, 0.5]","[0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0.5, 0.16666666666666666, 0.0, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333]"
@SAMOYEDWAVE Shai Hulud is a girl boss and the phallocentrism of Lynch's vision was a mistake.,"[0.5, 0.5]","[0.5, 0.16666666666666666, 0.0, 0.3333333333333333]","[0.5, 0.3333333333333333, 0.0, 0.0, 0.0, 0.16666666666666666]"
"""Feminists are outraged and are calling for the immediate extermination of the nepenthes plant for 'offensive phallocentrism and for perpetuating patriarchal values that center male genitalia'"" https://t.co/5gWqFWjG9R","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 0.3333333333333333]"
"embodiment, and Sofoulis revolutionary phallocentrism. Second sexuality, differentially technology","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.0, 0.16666666666666666, 0.0]"
"@Matthew86516977 @LuxAndLan @AdrianaRudling @Atalantagg @piapaulette It's not surprising at all the phallocentrism coming from some white dude, answering with dicks a reminder of what white settlers did to the Australian indigenous population is what shows your lack of education and selfawareness. Us, the subaltern do have a voice in spite of yall https://t.co/VpGa1gjY0P","[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.0, 0.5, 0.3333333333333333]","[0.16666666666666666, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666]"
why white people never wanna have the conversation about their privilege?let that sink in. https://t.co/CnJzSarYAD,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0]","[0.8333333333333334, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0]"
"@AlexPetrovnia Here's the thing, ""The Cult of the Penis"" works! The trick is how to adjust the subtitle for the stodgy set. Maybe something ""[gerund] the culture of phallocentrism""? I want to say ""amputating"" but that's not quite right","[0.5, 0.5]","[0.5, 0.0, 0.5, 0.0]","[0.5, 0.16666666666666666, 0.0, 0.0, 0.3333333333333333, 0.0]"
One example of phallocentrism is our secret desire to hatefuck trans women.,"[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.6666666666666666, 0.0, 0.16666666666666666]","[0.16666666666666666, 0.0, 0.6666666666666666, 0.16666666666666666, 0.8333333333333334, 0.16666666666666666]"
"""the entire history of writing is confounded with the history of reason, of which it is the effect, the support, &amp; one of the prvlgd alibis. It has been one w/ the phallocentric tradition. It is indeed that same self-admiring, self-stimulating, self-congratulatory phallocentrism""","[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.5, 0.16666666666666666, 0.16666666666666666]","[0.16666666666666666, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.3333333333333333]"
Watching PJ play FTL is fuelling my belief in phallocentrism,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0]","[0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333]"
"going from writing scientific papers all day as a nursing major to writing papers about phallocentrism in South Korea as a broadcast com major has felt freeing, and although I enjoy doing the research and writing this paper,  FUCK THIS! I have no mental capacity left grrrr &lt;3","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.3333333333333333, 0.0]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0]"
"Always remember: the cis-heteronormativity, phallocentrism, uprightness and global north-centric nature of the conflict studies sphere prevents it from consistent &amp; holistic engagement with armed conflict-related challenges around the world https://t.co/noHuPmunDb","[0.5, 0.5]","[0.5, 0.0, 0.5, 0.0]","[0.5, 0.5, 0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666]"
"@GoldenRhino23 It has excellent points, but the penis envy stuff &amp; phallocentrism is wrong &amp; damaging. I see it in many philosophers that were influenced by Freud. I wouldn't throw it all out, in any case. To your point, still relevant aspects now and when it was written.","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.3333333333333333, 0.0]","[0.6666666666666666, 0.3333333333333333, 0.16666666666666666, 0.0, 0.0, 0.0]"
Absolutely detonating the patriarchy tonight by watching The Souvenir Parts I &amp; II in reverse orderPhallocentrism may never recover,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0]"
Someone sounds embarrassed that their phallocentrism skews hard right and looks kinda funny. #JoshHaley #crooked https://t.co/2Vkj4bi9pM,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
Lighting stuff on fire really do just be woke phallocentrism,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
"""You want a cock and you don't know how to ask.""How I hate that phrase that's been so in vogue lately. It is an open phallocentrism! And if the person is wanting pussy and is not able to ask? Or an asshole? Don't take others away for you, friend. As if dick was a holy remedy https://t.co/JG4LK6ynS8","[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.3333333333333333, 0.5, 0.0]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.0]"
Rewatching Fight Club on my laptop so I can write an analysis on its phallocentrism while I have Shein open in another tab. Is this irony?,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0, 0.3333333333333333]"
"muting words on Twitter is phallogocentrism, an attempt to control the signifier’s constitutive iterability. politically, it’s better to assume a radical hospitality toward the Outside until you acquire Mental Illness","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.16666666666666666]"
"@tommazanec like, you don't need to know what a phallogocentrism is to realize you hate it and want some other options","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0]","[0.6666666666666666, 0.0, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666]"
Don’t Be a Dick: Exploring Phallogocentrism in Nursery Rhymes by @BrookeKnisley https://t.co/BZ46ICyaeG,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666]","[0.6666666666666666, 0.0, 0.0, 0.16666666666666666, 0.0, 0.16666666666666666]"
"(doing linguistics) wait that was usually an insult directed at women so maybe that is based on ""hose"" like hosiery rather than the kind you water your lawn with. This is phallogocentrism,","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666, 0.5]"
"There is not a single global-historical narcissistic circuit (phallogocentrism. say) which operates from a single base and dominates all around it through operations of appropriative auto-identification: such ""centrism""s are established through long signifying chains,","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.3333333333333333, 0.0]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.16666666666666666]"
"@David_Gunkel @MattFlisfeder I don't know if we were going for this look or not, but I can't help but notice the phallogocentrism of the cover image.","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333]","[0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666]"
"Finishing up an analysis of phallogocentrism in Bataille for a midterm paper.  Probably one of the most odd characters I've come across so far but that's what make his texts fun, if not head splitting.","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
Phallogocentrism running amok. Derrida with a 3 from half court.,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]","[0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.0, 0.16666666666666666]"
"@ShineboxHukster @MrAndyNgo Exactly. The socially constructed larger and stronger entity (I feel terrible even making those assessments, but phallogocentrism compels me to do so) was led to the indelicate handling of his/zher’s partner by hidden systems of oppression.","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.5, 0.0, 0.16666666666666666, 0.0, 0.16666666666666666]"
@BarbieReports @Londonist @TimeOutLondon @visitlondon the curse of phallogocentrism ! god forbid a woman should be upright :),"[0.0, 1.0]","[0.0, 0.16666666666666666, 0.6666666666666666, 0.16666666666666666]","[0.0, 0.3333333333333333, 0.0, 0.16666666666666666, 0.0, 0.8333333333333334]"
"@digitalartchick This can be attributed to phallogocentrism. It's a default that has been used for many centuries, a hard habit to break. The more we use gender neutral assignations the more prevalent they will become. That being said, it is what people are taught in school...","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
Phallogocentrism is basically philosophical autogynephiliait's not a thing and it's incredibly damaging to the truth of the matterI'd @ Jacques Derrida if he wasn't dead,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0, 0.0]"
any hot girls want to chill and discuss phallogocentrism?,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.5, 0.0, 0.0]","[0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666]"
